,X,집계년도,재산번호,재산구분명,재산종류명,행정재산구분명,회계구분명,산구분명,시군구명,읍면동명,리명,본번,부번,입력시스템명,실지목명,공부지목명,재산수량,재산면적,대장가액.원.,기준가액.원.,재산관리기관명,분임관리기관명,위임관리기관명,취득일자,취득승인여부,취득방법명,재산명칭,등록일자,비고,address,longitude,latitude
80,10231,2015,158910,공작물,행정재산,공용재산,일반회계,일반,경기도 광주시,중부면,산성리,1095,0,이호조,미등록,미등록,1,NA,2249320,2249320,경기도 축산산림국 공원녹지과,,,2010-10-25,Y,매입,약수터 경계석,2010-11-25,,경기도 광주시 중부면 산성리 1095 - 0,127.1834,37.4763
81,10232,2015,159765,공작물,행정재산,공용재산,일반회계,일반,경기도 광주시,중부면,산성리,1098,0,이호조,미등록,미등록,1,NA,14410000,14410000,경기도 축산산림국 공원녹지과,,,2010-04-09,Y,매입,약수터,2011-03-16,,경기도 광주시 중부면 산성리 1098 - 0,127.1832,37.4764
82,10233,2015,180724,공작물,행정재산,공용재산,일반회계,일반,경기도 광주시,중부면,광지원리,5,5,이호조,미등록,미등록,1,NA,3710000,3710000,경기도 재난안전본부 소방행정과,경기도 광주소방서,,2013-06-17,Y,신축,지상식소화전,2013-06-24,,경기도 광주시 중부면 광지원리 5 - 5,127.2418,37.46
83,10234,2015,180725,공작물,행정재산,공용재산,일반회계,일반,경기도 광주시,중부면,광지원리,5,5,이호조,미등록,미등록,1,NA,3710000,3710000,경기도 재난안전본부 소방행정과,경기도 광주소방서,,2013-06-17,Y,신축,지상식소화전,2013-06-24,,경기도 광주시 중부면 광지원리 5 - 5,127.2418,37.46
84,10235,2015,159650,공작물,행정재산,공용재산,일반회계,일반,경기도 광주시,중부면,광지원리,105,2,이호조,미등록,미등록,1,NA,2502858090,2502858090,경기도 건설국 도로정책과,,,2010-12-31,Y,신축,남한산성진입도로(지방도342호선),2011-03-14,,경기도 광주시 중부면 광지원리 105 - 2,127.2458,37.4625
85,10248,2015,185532,공작물,행정재산,공용재산,일반회계,일반,경기도 광주시,퇴촌면,관음리,530,1,이호조,미등록,미등록,1,NA,3296510,3296510,경기도 재난안전본부 소방행정과,경기도 광주소방서 초월119안전센터,,2014-05-07,Y,신축,지상식소화전,2014-06-11,,경기도 광주시 퇴촌면 관음리 530 - 1,127.3287,37.4612
86,10249,2015,125799,공작물,행정재산,공용재산,일반회계,일반,경기도 광주시,퇴촌면,도수리,399,27,행정,미등록,미등록,1,NA,3.00E+06,3.00E+06,경기도 재난안전본부 소방행정과,경기도 광주소방서,,1998-09-15,Y,매입,비상급수시설,2008-03-07,,경기도 광주시 퇴촌면 도수리 399 - 27,127.3208,37.4682
87,10250,2015,161042,공작물,행정재산,공용재산,일반회계,일반,경기도 광주시,퇴촌면,오리,190,2,이호조,미등록,미등록,1,NA,3692814590,3692814590,경기도 건설국 도로정책과,,,2009-12-09,Y,신축,오리~금사리간 도로,2011-05-20,,경기도 광주시 퇴촌면 오리 190 - 2,127.3015,37.4783
88,10251,2015,125800,공작물,행정재산,공용재산,일반회계,일반,경기도 광주시,퇴촌면,정지리,385,2,행정,미등록,미등록,1,NA,3.00E+06,3.00E+06,경기도 재난안전본부 소방행정과,경기도 광주소방서,,1998-09-15,Y,매입,비상급수시설,2008-03-07,,경기도 광주시 퇴촌면 정지리 385 - 2,127.3084,37.4533
89,10252,2015,190030,공작물,행정재산,공용재산,팔당호관리,일반,경기도 광주시,퇴촌면,정지리,456,4,이호조,미등록,미등록,1,NA,990000,990000,경기도 경기도수자원본부,,,2014-09-01,Y,신축,공원용 안내판,2015-05-02,,경기도 광주시 퇴촌면 정지리 456 - 4,127.3053,37.4587
90,10253,2015,152006,공작물,행정재산,공용재산,일반회계,일반,경기도 광주시,중부면,산성리,563,0,이호조,미등록,미등록,1,NA,20273858,20273858,경기도 축산산림국 공원녹지과,,,2009-12-30,Y,신축,"공공시설물(파고라,버스승강장,주차관리부스,종합안내사인)",2010-03-23,,경기도 광주시 중부면 산성리 563 - 0,127.183,37.4783
91,10254,2015,152007,공작물,행정재산,공용재산,일반회계,일반,경기도 광주시,중부면,산성리,563,0,이호조,미등록,미등록,1,NA,20273858,20273858,경기도 축산산림국 공원녹지과,,,2009-12-30,Y,신축,"공공시설물(파고라,버스승강장,주차관리부스,종합안내사인)",2010-03-23,,경기도 광주시 중부면 산성리 563 - 0,127.183,37.4783
92,10255,2015,152008,공작물,행정재산,공용재산,일반회계,일반,경기도 광주시,중부면,산성리,563,0,이호조,미등록,미등록,1,NA,20273858,20273858,경기도 축산산림국 공원녹지과,,,2009-12-30,Y,신축,"공공시설물(파고라,버스승강장,주차관리부스,종합안내사인)",2010-03-23,,경기도 광주시 중부면 산성리 563 - 0,127.183,37.4783
93,10256,2015,152009,공작물,행정재산,공용재산,일반회계,일반,경기도 광주시,중부면,산성리,563,0,이호조,미등록,미등록,1,NA,20273858,20273858,경기도 축산산림국 공원녹지과,,,2009-12-30,Y,신축,"공공시설물(파고라,버스승강장,주차관리부스,종합안내사인)",2010-03-23,,경기도 광주시 중부면 산성리 563 - 0,127.183,37.4783
94,10257,2015,152010,공작물,행정재산,공용재산,일반회계,일반,경기도 광주시,중부면,산성리,563,0,이호조,미등록,미등록,1,NA,20273858,20273858,경기도 축산산림국 공원녹지과,,,2009-12-30,Y,신축,"공공시설물(파고라,버스승강장,주차관리부스,종합안내사인)",2010-03-23,,경기도 광주시 중부면 산성리 563 - 0,127.183,37.4783
95,10258,2015,152011,공작물,행정재산,공용재산,일반회계,일반,경기도 광주시,중부면,산성리,563,0,이호조,미등록,미등록,1,NA,20273858,20273858,경기도 축산산림국 공원녹지과,,,2009-12-30,Y,신축,"공공시설물(파고라,버스승강장,주차관리부스,종합안내사인)",2010-03-23,,경기도 광주시 중부면 산성리 563 - 0,127.183,37.4783
96,10259,2015,152012,공작물,행정재산,공용재산,일반회계,일반,경기도 광주시,중부면,산성리,563,0,이호조,미등록,미등록,1,NA,20273858,20273858,경기도 축산산림국 공원녹지과,,,2009-12-30,Y,신축,"공공시설물(파고라,버스승강장,주차관리부스,종합안내사인)",2010-03-23,,경기도 광주시 중부면 산성리 563 - 0,127.183,37.4783
97,10260,2015,125765,공작물,행정재산,공용재산,일반회계,일반,경기도 광주시,초월읍,도평리,208,2,행정,미등록,미등록,1,NA,3.00E+06,3.00E+06,경기도 재난안전본부 소방행정과,경기도 광주소방서,,2004-08-12,Y,매입,비상급수시설,2008-03-07,,경기도 광주시 초월읍 도평리 208 - 2,127.2921,37.3972
98,10261,2015,125764,공작물,행정재산,공용재산,일반회계,일반,경기도 광주시,초월읍,도평리,213,3,행정,미등록,미등록,1,NA,3.00E+06,3.00E+06,경기도 재난안전본부 소방행정과,경기도 광주소방서,,2004-08-12,Y,매입,비상급수시설,2008-03-07,,경기도 광주시 초월읍 도평리 213 - 3,127.2912,37.3958
99,10262,2015,125803,공작물,행정재산,공용재산,일반회계,일반,경기도 광주시,초월읍,도평리,213,3,행정,미등록,미등록,1,NA,3.00E+06,3.00E+06,경기도 재난안전본부 소방행정과,경기도 광주소방서,,1998-09-15,Y,매입,비상급수시설,2008-03-07,,경기도 광주시 초월읍 도평리 213 - 3,127.2912,37.3958
100,10263,2015,161051,공작물,행정재산,공용재산,일반회계,일반,경기도 광주시,곤지암읍,곤지암리,131,6,이호조,미등록,미등록,1,NA,1536822670,1536822670,경기도 건설국 도로정책과,,,2009-05-01,Y,신축,경기도 광주시 실촌읍 곤지암리 일반번지 131-6번지,2011-05-20,,경기도 광주시 곤지암읍 곤지암리 131 - 6,127.3497,37.3508
101,10264,2015,125983,공작물,행정재산,공용재산,일반회계,일반,경기도 광주시,곤지암읍,곤지암리,343,6,행정,미등록,미등록,1,NA,3.00E+06,3.00E+06,경기도 재난안전본부 소방행정과,경기도 광주소방서,,1998-09-15,Y,매입,비상급수시설,2008-03-07,,경기도 광주시 곤지암읍 곤지암리 343 - 6,127.3441,37.3488
102,10265,2015,125989,공작물,행정재산,공용재산,일반회계,일반,경기도 광주시,곤지암읍,곤지암리,357,1,행정,미등록,미등록,1,NA,3.00E+06,3.00E+06,경기도 재난안전본부 소방행정과,경기도 광주소방서,,1998-09-15,Y,매입,비상급수시설,2008-03-07,,경기도 광주시 곤지암읍 곤지암리 357 - 1,127.3487,37.351
103,10266,2015,125992,공작물,행정재산,공용재산,일반회계,일반,경기도 광주시,곤지암읍,곤지암리,357,1,행정,미등록,미등록,1,NA,3.00E+06,3.00E+06,경기도 재난안전본부 소방행정과,경기도 광주소방서,,1998-09-15,Y,매입,비상급수시설,2008-03-07,,경기도 광주시 곤지암읍 곤지암리 357 - 1,127.3487,37.351
104,10267,2015,125967,공작물,행정재산,공용재산,일반회계,일반,경기도 광주시,곤지암읍,곤지암리,400,5,행정,미등록,미등록,1,NA,3.00E+06,3.00E+06,경기도 재난안전본부 소방행정과,경기도 광주소방서,,2003-10-20,Y,매입,비상급수시설,2008-03-07,,경기도 광주시 곤지암읍 곤지암리 400 - 5,127.3433,37.3534
105,10268,2015,125959,공작물,행정재산,공용재산,일반회계,일반,경기도 광주시,곤지암읍,곤지암리,435,8,행정,미등록,미등록,1,NA,3.00E+06,3.00E+06,경기도 재난안전본부 소방행정과,경기도 광주소방서,,2001-12-10,Y,매입,비상급수시설,2008-03-07,,경기도 광주시 곤지암읍 곤지암리 435 - 8,127.3407,37.3502
106,10269,2015,125960,공작물,행정재산,공용재산,일반회계,일반,경기도 광주시,곤지암읍,곤지암리,440,0,행정,미등록,미등록,1,NA,3.00E+06,3.00E+06,경기도 재난안전본부 소방행정과,경기도 광주소방서,,1998-09-15,Y,매입,비상급수시설,2008-03-07,,경기도 광주시 곤지암읍 곤지암리 440 - 0,127.3399,37.3496
107,10270,2015,125958,공작물,행정재산,공용재산,일반회계,일반,경기도 광주시,곤지암읍,곤지암리,443,4,행정,미등록,미등록,1,NA,3.00E+06,3.00E+06,경기도 재난안전본부 소방행정과,경기도 광주소방서,,1998-09-15,Y,매입,비상급수시설,2008-03-07,,경기도 광주시 곤지암읍 곤지암리 443 - 4,127.3389,37.3504
108,10271,2015,152005,공작물,행정재산,공용재산,일반회계,일반,경기도 광주시,중부면,산성리,563,0,이호조,미등록,미등록,1,NA,20273858,20273858,경기도 축산산림국 공원녹지과,,,2009-12-30,Y,신축,"공공시설물(파고라,버스승강장,주차관리부스,종합안내사인)",2010-03-23,,경기도 광주시 중부면 산성리 563 - 0,127.183,37.4783
109,10272,2015,152004,공작물,행정재산,공용재산,일반회계,일반,경기도 광주시,중부면,산성리,563,0,이호조,미등록,미등록,1,NA,20273858,20273858,경기도 축산산림국 공원녹지과,,,2009-12-30,Y,신축,"공공시설물(파고라,버스승강장,주차관리부스,종합안내사인)",2010-03-23,,경기도 광주시 중부면 산성리 563 - 0,127.183,37.4783
110,10324,2015,152000,공작물,행정재산,공용재산,일반회계,일반,경기도 광주시,중부면,산성리,563,0,이호조,미등록,미등록,1,NA,20273858,20273858,경기도 축산산림국 공원녹지과,,,2009-12-30,Y,신축,"공공시설물(파고라,버스승강장,주차관리부스,종합안내사인)",2010-03-23,,경기도 광주시 중부면 산성리 563 - 0,127.183,37.4783
111,10325,2015,152001,공작물,행정재산,공용재산,일반회계,일반,경기도 광주시,중부면,산성리,563,0,이호조,미등록,미등록,1,NA,20273858,20273858,경기도 축산산림국 공원녹지과,,,2009-12-30,Y,신축,"공공시설물(파고라,버스승강장,주차관리부스,종합안내사인)",2010-03-23,,경기도 광주시 중부면 산성리 563 - 0,127.183,37.4783
112,10326,2015,152002,공작물,행정재산,공용재산,일반회계,일반,경기도 광주시,중부면,산성리,563,0,이호조,미등록,미등록,1,NA,20273858,20273858,경기도 축산산림국 공원녹지과,,,2009-12-30,Y,신축,"공공시설물(파고라,버스승강장,주차관리부스,종합안내사인)",2010-03-23,,경기도 광주시 중부면 산성리 563 - 0,127.183,37.4783
113,10359,2015,152003,공작물,행정재산,공용재산,일반회계,일반,경기도 광주시,중부면,산성리,563,0,이호조,미등록,미등록,1,NA,20273858,20273858,경기도 축산산림국 공원녹지과,,,2009-12-30,Y,신축,"공공시설물(파고라,버스승강장,주차관리부스,종합안내사인)",2010-03-23,,경기도 광주시 중부면 산성리 563 - 0,127.183,37.4783
114,10360,2015,159759,공작물,행정재산,공용재산,일반회계,일반,경기도 광주시,퇴촌면,광동리,530,0,이호조,미등록,미등록,1,NA,52497000,52497000,경기도 경기도수자원본부,경기도 경기도수자원본부 수질관리과,,2009-08-12,Y,매입,생태하천복원사업-조경석,2011-03-16,,경기도 광주시 퇴촌면 광동리 530 - 0,127.3014,37.4711
115,10361,2015,138890,공작물,행정재산,공용재산,일반회계,일반,경기도 광주시,퇴촌면,광동리,129,1,행정,미등록,미등록,1,NA,17744510,17744510,경기도 경기도수자원본부,,,2007-11-02,Y,매입,안내판,2008-03-07,,경기도 광주시 퇴촌면 광동리 129 - 1,127.31,37.4668
116,10362,2015,97615,공작물,행정재산,공용재산,일반회계,일반,경기도 광주시,퇴촌면,광동리,129,1,행정,미등록,미등록,1,NA,2396000,2396000,경기도 경기도수자원본부,경기도 경기도수자원본부 수질관리과,,1994-11-19,Y,신축,테니스장,2008-01-02,,경기도 광주시 퇴촌면 광동리 129 - 1,127.31,37.4668
117,10377,2015,174256,공작물,행정재산,공용재산,일반회계,산,경기도 광주시,도척면,도웅리,1,0,이호조,미등록,미등록,1,NA,30674000,30674000,경기도 재난안전본부 소방행정과,경기도 광주소방서,,2012-05-14,Y,매입,경기도 광주시 도척면 도웅리 산번지 -번지,2012-05-17,,경기도 광주시 도척면 도웅리 1 - 0,127.3146,37.3365
118,10378,2015,125957,공작물,행정재산,공용재산,일반회계,일반,경기도 광주시,도척면,도웅리,64,0,행정,미등록,미등록,1,NA,3.00E+06,3.00E+06,경기도 재난안전본부 소방행정과,경기도 광주소방서,,2004-08-12,Y,매입,비상급수시설,2008-03-07,,경기도 광주시 도척면 도웅리 64 - 0,127.3092,37.3302
119,10379,2015,185172,공작물,행정재산,공공용재산,일반회계,일반,경기도 광주시,도척면,도웅리,89,1,이호조,미등록,미등록,1,NA,7283559290,7283559290,경기도 건설국 하천과,,,2013-07-31,Y,신축,노곡천 생태하천 제방,2014-03-24,,경기도 광주시 도척면 도웅리 89 - 1,127.3108,37.3306
120,10380,2015,125964,공작물,행정재산,공용재산,일반회계,일반,경기도 광주시,도척면,도웅리,125,125,행정,미등록,미등록,1,NA,3.00E+06,3.00E+06,경기도 재난안전본부 소방행정과,경기도 광주소방서,,2002-11-06,Y,매입,비상급수시설,2008-03-07,,경기도 광주시 도척면 도웅리 125 - 125,999,999
